name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,more_or_less,full_url
"Cedar Grove, Essex",/database/pd-dept/cedar-grove-essex,359%,more likely,14%,more likely,0,7,8,28,,http://force.nj.com/database/pd-dept/cedar-grove-essex
"Chatham Borough, Morris",/database/pd-dept/chatham-borough-morris,502%,more likely,78%,less likely,0,6,6,18,,http://force.nj.com/database/pd-dept/chatham-borough-morris
"Chatham Township, Morris",/database/pd-dept/chatham-township-morris,N/A,Not found,N/A,Not found,0,0,0,20,,http://force.nj.com/database/pd-dept/chatham-township-morris
"Cherry Hill, Camden",/database/pd-dept/cherry-hill-camden,464%,more likely,21%,more likely,3,79,80,134,,http://force.nj.com/database/pd-dept/cherry-hill-camden
"Chesilhurst, Camden",/database/pd-dept/chesilhurst-camden,N/A,Not found,N/A,Not found,0,2,2,8,,http://force.nj.com/database/pd-dept/chesilhurst-camden
"Chester Township &amp; Chester Borough, Morris",/database/pd-dept/chester-township-morris,N/A,Not found,N/A,Not found,0,4,5,23,,http://force.nj.com/database/pd-dept/chester-township-morris
"Chesterfield, Burlington",/database/pd-dept/chesterfield-burlington,N/A,Not found,N/A,Not found,0,2,2,10,,http://force.nj.com/database/pd-dept/chesterfield-burlington
"Cinnaminson, Burlington",/database/pd-dept/cinnaminson-burlington,568%,more likely,45%,less likely,1,15,15,24,,http://force.nj.com/database/pd-dept/cinnaminson-burlington
"Clark, Union",/database/pd-dept/clark-union,2046%,more likely,23%,less likely,1,20,21,40,,http://force.nj.com/database/pd-dept/clark-union
"Clayton, Gloucester",/database/pd-dept/clayton-gloucester,176%,more likely,12%,less likely,0,5,8,16,,http://force.nj.com/database/pd-dept/clayton-gloucester
"Clementon, Camden",/database/pd-dept/clementon-camden,148%,more likely,106%,more likely,0,3,4,12,,http://force.nj.com/database/pd-dept/clementon-camden
"Cliffside Park, Bergen",/database/pd-dept/cliffside-park-bergen,50%,less likely,49%,less likely,1,26,28,46,,http://force.nj.com/database/pd-dept/cliffside-park-bergen
"Clifton, Passaic",/database/pd-dept/clifton-passaic,118%,more likely,29%,more likely,10,74,76,144,,http://force.nj.com/database/pd-dept/clifton-passaic
"Clinton Township, Hunterdon",/database/pd-dept/clinton-township-hunterdon,52%,less likely,63%,less likely,0,10,10,22,,http://force.nj.com/database/pd-dept/clinton-township-hunterdon
"Closter, Bergen",/database/pd-dept/closter-bergen,N/A,Not found,12%,more likely,0,4,4,18,,http://force.nj.com/database/pd-dept/closter-bergen
"Collingswood, Camden",/database/pd-dept/collingswood-camden,257%,more likely,16%,less likely,0,9,9,22,,http://force.nj.com/database/pd-dept/collingswood-camden
"Colts Neck, Monmouth",/database/pd-dept/colts-neck-monmouth,N/A,Not found,N/A,Not found,0,2,2,20,,http://force.nj.com/database/pd-dept/colts-neck-monmouth
"Cranbury, Middlesex",/database/pd-dept/cranbury-middlesex,N/A,Not found,15%,more likely,0,7,7,16,,http://force.nj.com/database/pd-dept/cranbury-middlesex
"Cranford, Union",/database/pd-dept/cranford-union,1421%,more likely,14%,less likely,0,20,21,50,,http://force.nj.com/database/pd-dept/cranford-union
"Cresskill, Bergen",/database/pd-dept/cresskill-bergen,2255%,more likely,123%,more likely,0,7,7,22,,http://force.nj.com/database/pd-dept/cresskill-bergen
"Deal, Interlaken &amp; Loch Arbour Village, Monmouth",/database/pd-dept/deal-monmouth,3199%,more likely,33%,more likely,0,7,7,18,,http://force.nj.com/database/pd-dept/deal-monmouth
"Delanco, Burlington",/database/pd-dept/delanco-burlington,312%,more likely,34%,more likely,0,6,7,10,,http://force.nj.com/database/pd-dept/delanco-burlington
"Delaware, Hunterdon",/database/pd-dept/delaware-hunterdon,N/A,Not found,N/A,Not found,0,2,2,7,,http://force.nj.com/database/pd-dept/delaware-hunterdon
"Delran, Burlington",/database/pd-dept/delran-burlington,276%,more likely,25%,less likely,0,15,16,30,,http://force.nj.com/database/pd-dept/delran-burlington
"Demarest, Bergen",/database/pd-dept/demarest-bergen,N/A,Not found,N/A,Not found,0,1,1,12,,http://force.nj.com/database/pd-dept/demarest-bergen
"Denville, Morris",/database/pd-dept/denville-morris,237%,more likely,40%,less likely,0,8,8,31,,http://force.nj.com/database/pd-dept/denville-morris
"Deptford, Gloucester",/database/pd-dept/deptford-gloucester,181%,more likely,8%,less likely,6,28,35,63,,http://force.nj.com/database/pd-dept/deptford-gloucester
"Dover, Morris",/database/pd-dept/dover-morris,33%,less likely,1%,less likely,6,19,22,30,,http://force.nj.com/database/pd-dept/dover-morris
"Dumont, Bergen",/database/pd-dept/dumont-bergen,74%,more likely,28%,more likely,0,8,8,32,,http://force.nj.com/database/pd-dept/dumont-bergen
"Dunellen, Middlesex",/database/pd-dept/dunellen-middlesex,10%,more likely,31%,less likely,3,15,15,16,,http://force.nj.com/database/pd-dept/dunellen-middlesex
"East Brunswick, Middlesex",/database/pd-dept/east-brunswick-middlesex,308%,more likely,3%,more likely,2,45,45,83,,http://force.nj.com/database/pd-dept/east-brunswick-middlesex
"East Greenwich, Gloucester",/database/pd-dept/east-greenwich-gloucester,340%,more likely,39%,more likely,0,5,6,18,,http://force.nj.com/database/pd-dept/east-greenwich-gloucester
"East Hanover, Morris",/database/pd-dept/east-hanover-morris,N/A,Not found,54%,less likely,0,4,5,33,,http://force.nj.com/database/pd-dept/east-hanover-morris
"East Newark, Hudson",/database/pd-dept/east-newark-hudson,N/A,Not found,N/A,Not found,0,1,2,8,,http://force.nj.com/database/pd-dept/east-newark-hudson
"East Orange, Essex",/database/pd-dept/east-orange-essex,238%,more likely,454%,more likely,13,113,114,213,,http://force.nj.com/database/pd-dept/east-orange-essex
"East Rutherford, Bergen",/database/pd-dept/east-rutherford-bergen,113%,more likely,39%,more likely,0,9,9,38,,http://force.nj.com/database/pd-dept/east-rutherford-bergen
"East Windsor, Mercer",/database/pd-dept/east-windsor-mercer,125%,more likely,46%,more likely,2,17,18,44,,http://force.nj.com/database/pd-dept/east-windsor-mercer
"Eastampton, Burlington",/database/pd-dept/eastampton-burlington,N/A,Not found,N/A,Not found,0,4,4,14,,http://force.nj.com/database/pd-dept/eastampton-burlington
"Eatontown, Monmouth",/database/pd-dept/eatontown-monmouth,482%,more likely,2%,less likely,4,18,21,36,,http://force.nj.com/database/pd-dept/eatontown-monmouth
"Edgewater Park, Burlington",/database/pd-dept/edgewater-park-burlington,107%,more likely,3%,less likely,0,11,11,12,,http://force.nj.com/database/pd-dept/edgewater-park-burlington
"Edgewater, Bergen",/database/pd-dept/edgewater-bergen,4%,less likely,25%,less likely,1,14,14,28,,http://force.nj.com/database/pd-dept/edgewater-bergen
"Edison, Middlesex",/database/pd-dept/edison-middlesex,161%,more likely,5%,less likely,6,91,93,172,,http://force.nj.com/database/pd-dept/edison-middlesex
"Egg Harbor City, Atlantic",/database/pd-dept/egg-harbor-city-atlantic,239%,more likely,154%,more likely,0,9,12,12,,http://force.nj.com/database/pd-dept/egg-harbor-city-atlantic
"Egg Harbor Township, Atlantic",/database/pd-dept/egg-harbor-township-atlantic,390%,more likely,34%,more likely,4,57,60,84,,http://force.nj.com/database/pd-dept/egg-harbor-township-atlantic
"Elizabeth, Union",/database/pd-dept/elizabeth-union,76%,more likely,71%,more likely,49,155,185,310,,http://force.nj.com/database/pd-dept/elizabeth-union
"Elk, Gloucester",/database/pd-dept/elk-gloucester,N/A,Not found,N/A,Not found,0,1,3,12,,http://force.nj.com/database/pd-dept/elk-gloucester
"Elmwood Park, Bergen",/database/pd-dept/elmwood-park-bergen,341%,more likely,111%,more likely,0,21,21,38,,http://force.nj.com/database/pd-dept/elmwood-park-bergen
"Emerson, Bergen",/database/pd-dept/emerson-bergen,N/A,Not found,N/A,Not found,0,0,0,19,,http://force.nj.com/database/pd-dept/emerson-bergen
"Englewood Cliffs, Bergen",/database/pd-dept/englewood-cliffs-bergen,N/A,Not found,739%,more likely,0,9,9,26,,http://force.nj.com/database/pd-dept/englewood-cliffs-bergen
"Englewood, Bergen",/database/pd-dept/englewood-bergen,187%,more likely,28%,more likely,0,29,30,79,,http://force.nj.com/database/pd-dept/englewood-bergen
"Englishtown, Monmouth",/database/pd-dept/englishtown-monmouth,430%,more likely,27%,less likely,0,4,4,8,,http://force.nj.com/database/pd-dept/englishtown-monmouth
"Essex Fells, Essex",/database/pd-dept/essex-fells-essex,N/A,Not found,N/A,Not found,0,1,1,12,,http://force.nj.com/database/pd-dept/essex-fells-essex
"Evesham, Burlington",/database/pd-dept/evesham-burlington,239%,more likely,24%,less likely,14,56,56,72,,http://force.nj.com/database/pd-dept/evesham-burlington
"Ewing, Mercer",/database/pd-dept/ewing-mercer,371%,more likely,12%,more likely,4,45,48,72,,http://force.nj.com/database/pd-dept/ewing-mercer
"Fair Haven, Monmouth",/database/pd-dept/fair-haven-monmouth,N/A,Not found,N/A,Not found,0,6,7,13,,http://force.nj.com/database/pd-dept/fair-haven-monmouth
"Fairfield, Essex",/database/pd-dept/fairfield-essex,N/A,Not found,57%,less likely,0,20,21,35,,http://force.nj.com/database/pd-dept/fairfield-essex
"Fairlawn, Bergen",/database/pd-dept/fairlawn-bergen,498%,more likely,30%,less likely,0,18,19,57,,http://force.nj.com/database/pd-dept/fairlawn-bergen
"Fairview, Bergen",/database/pd-dept/fairview-bergen,72%,less likely,42%,less likely,0,10,11,31,,http://force.nj.com/database/pd-dept/fairview-bergen
"Fanwood, Union",/database/pd-dept/fanwood-union,390%,more likely,13%,less likely,0,5,5,17,,http://force.nj.com/database/pd-dept/fanwood-union
"Far Hills, Somerset",/database/pd-dept/far-hills-somerset,N/A,Not found,N/A,Not found,0,1,1,6,,http://force.nj.com/database/pd-dept/far-hills-somerset
"Flemington, Hunterdon",/database/pd-dept/flemington-hunterdon,223%,more likely,2%,more likely,0,9,9,14,,http://force.nj.com/database/pd-dept/flemington-hunterdon
"Florence, Burlington",/database/pd-dept/florence-burlington,324%,more likely,17%,less likely,0,8,9,24,,http://force.nj.com/database/pd-dept/florence-burlington
"Florham Park, Morris",/database/pd-dept/florham-park-morris,273%,more likely,43%,less likely,0,8,8,32,,http://force.nj.com/database/pd-dept/florham-park-morris
"Fort Lee, Bergen",/database/pd-dept/fort-lee-bergen,307%,more likely,5%,less likely,2,42,43,88,,http://force.nj.com/database/pd-dept/fort-lee-bergen
"Franklin, Sussex",/database/pd-dept/franklin-sussex,15%,less likely,28%,less likely,0,9,9,14,,http://force.nj.com/database/pd-dept/franklin-sussex
"Franklin Lakes, Bergen",/database/pd-dept/franklin-lakes-bergen,N/A,Not found,123%,more likely,0,6,6,22,,http://force.nj.com/database/pd-dept/franklin-lakes-bergen
"Franklin, Gloucester",/database/pd-dept/franklin-gloucester,20%,more likely,56%,less likely,1,17,17,26,,http://force.nj.com/database/pd-dept/franklin-gloucester
"Franklin, Somerset",/database/pd-dept/franklin-somerset,202%,more likely,9%,more likely,1,45,49,103,,http://force.nj.com/database/pd-dept/franklin-somerset
"Freehold Borough, Monmouth",/database/pd-dept/freehold-borough-monmouth,110%,more likely,44%,more likely,1,12,17,28,,http://force.nj.com/database/pd-dept/freehold-borough-monmouth
"Freehold Township, Monmouth",/database/pd-dept/freehold-township-monmouth,454%,more likely,89%,more likely,0,23,25,63,,http://force.nj.com/database/pd-dept/freehold-township-monmouth
"Frenchtown, Hunterdon",/database/pd-dept/frenchtown-hunterdon,N/A,Not found,N/A,Not found,0,2,2,3,,http://force.nj.com/database/pd-dept/frenchtown-hunterdon
"Galloway, Atlantic",/database/pd-dept/galloway-atlantic,173%,more likely,19%,more likely,4,43,43,58,,http://force.nj.com/database/pd-dept/galloway-atlantic
"Garfield, Bergen",/database/pd-dept/garfield-bergen,95%,more likely,24%,less likely,2,28,29,62,,http://force.nj.com/database/pd-dept/garfield-bergen
"Garwood, Union",/database/pd-dept/garwood-union,N/A,Not found,92%,more likely,0,6,6,16,,http://force.nj.com/database/pd-dept/garwood-union
"Gibbsboro, Camden",/database/pd-dept/gibbsboro-camden,N/A,Not found,1%,more likely,0,5,6,8,,http://force.nj.com/database/pd-dept/gibbsboro-camden
"Glassboro, Gloucester",/database/pd-dept/glassboro-gloucester,354%,more likely,77%,more likely,25,40,41,45,,http://force.nj.com/database/pd-dept/glassboro-gloucester
"Glen Ridge, Essex",/database/pd-dept/glen-ridge-essex,2498%,more likely,67%,more likely,0,8,8,22,,http://force.nj.com/database/pd-dept/glen-ridge-essex
"Glen Rock, Bergen",/database/pd-dept/glen-rock-bergen,N/A,Not found,31%,less likely,0,11,11,22,,http://force.nj.com/database/pd-dept/glen-rock-bergen
"Gloucester City, Camden",/database/pd-dept/gloucester-city-camden,449%,more likely,137%,more likely,4,14,18,28,,http://force.nj.com/database/pd-dept/gloucester-city-camden
"Gloucester Township, Camden",/database/pd-dept/gloucester-township-camden,270%,more likely,25%,more likely,23,71,76,119,,http://force.nj.com/database/pd-dept/gloucester-township-camden
"Green Brook, Somerset",/database/pd-dept/green-brook-somerset,293%,more likely,32%,less likely,1,11,11,22,,http://force.nj.com/database/pd-dept/green-brook-somerset
"Greenwich, Gloucester",/database/pd-dept/greenwich-gloucester,501%,more likely,4%,less likely,0,8,8,18,,http://force.nj.com/database/pd-dept/greenwich-gloucester
"Greenwich, Warren",/database/pd-dept/greenwich-warren,N/A,Not found,N/A,Not found,0,0,1,10,,http://force.nj.com/database/pd-dept/greenwich-warren
"Guttenberg, Hudson",/database/pd-dept/guttenberg-hudson,92%,less likely,10%,less likely,1,11,12,24,,http://force.nj.com/database/pd-dept/guttenberg-hudson
"Hackensack, Bergen",/database/pd-dept/hackensack-bergen,189%,more likely,216%,more likely,3,65,68,116,,http://force.nj.com/database/pd-dept/hackensack-bergen
"Hackettstown, Warren",/database/pd-dept/hackettstown-warren,N/A,Not found,N/A,Not found,0,5,5,17,,http://force.nj.com/database/pd-dept/hackettstown-warren
"Haddon Heights, Camden",/database/pd-dept/haddon-heights-camden,N/A,Not found,18%,less likely,0,2,3,15,,http://force.nj.com/database/pd-dept/haddon-heights-camden
"Haddon &amp; Audubon Park, Camden",/database/pd-dept/haddon-camden,2052%,more likely,59%,more likely,0,10,10,26,,http://force.nj.com/database/pd-dept/haddon-camden
"Haddonfield &amp; Tavistock, Camden",/database/pd-dept/haddonfield-camden,N/A,Not found,191%,more likely,0,3,3,21,,http://force.nj.com/database/pd-dept/haddonfield-camden
"Haledon, Passaic",/database/pd-dept/haledon-passaic,869%,more likely,242%,more likely,5,15,15,17,,http://force.nj.com/database/pd-dept/haledon-passaic
"Hamburg, Sussex",/database/pd-dept/hamburg-sussex,N/A,Not found,32%,less likely,0,6,6,6,,http://force.nj.com/database/pd-dept/hamburg-sussex
"Hamilton, Atlantic",/database/pd-dept/hamilton-atlantic,100%,more likely,11%,less likely,6,29,34,50,,http://force.nj.com/database/pd-dept/hamilton-atlantic
"Hamilton, Mercer",/database/pd-dept/hamilton-mercer,304%,more likely,23%,more likely,16,105,109,168,,http://force.nj.com/database/pd-dept/hamilton-mercer
"Hammonton, Atlantic",/database/pd-dept/hammonton-atlantic,9%,more likely,40%,less likely,0,16,16,29,,http://force.nj.com/database/pd-dept/hammonton-atlantic
"Hanover, Morris",/database/pd-dept/hanover-morris,4005%,more likely,38%,more likely,1,11,11,29,,http://force.nj.com/database/pd-dept/hanover-morris
"Harding, Morris",/database/pd-dept/harding-morris,N/A,Not found,109%,more likely,0,3,3,10,,http://force.nj.com/database/pd-dept/harding-morris
"Hardyston, Sussex",/database/pd-dept/hardyston-sussex,N/A,Not found,16%,less likely,0,2,2,18,,http://force.nj.com/database/pd-dept/hardyston-sussex
"Harrington Park, Bergen",/database/pd-dept/harrington-park-bergen,N/A,Not found,N/A,Not found,0,0,0,11,,http://force.nj.com/database/pd-dept/harrington-park-bergen
"Harrison, Gloucester",/database/pd-dept/harrison-gloucester,N/A,Not found,101%,more likely,0,6,7,17,,http://force.nj.com/database/pd-dept/harrison-gloucester
"Harrison, Hudson",/database/pd-dept/harrison-hudson,23%,more likely,65%,less likely,0,21,21,36,,http://force.nj.com/database/pd-dept/harrison-hudson
"Harvey Cedars, Ocean",/database/pd-dept/harvey-cedars-ocean,N/A,Not found,511%,more likely,0,2,2,8,,http://force.nj.com/database/pd-dept/harvey-cedars-ocean
"Hasbrouck Heights, Bergen",/database/pd-dept/hasbrouck-heights-bergen,556%,more likely,17%,less likely,0,9,10,29,,http://force.nj.com/database/pd-dept/hasbrouck-heights-bergen
"Haworth, Bergen",/database/pd-dept/haworth-bergen,N/A,Not found,N/A,Not found,0,2,2,11,,http://force.nj.com/database/pd-dept/haworth-bergen
"Hawthorne, Passaic",/database/pd-dept/hawthorne-passaic,211%,more likely,39%,less likely,2,11,11,30,,http://force.nj.com/database/pd-dept/hawthorne-passaic
"Hazlet, Monmouth",/database/pd-dept/hazlet-monmouth,73%,more likely,47%,less likely,0,12,13,39,,http://force.nj.com/database/pd-dept/hazlet-monmouth
"Helmetta, Middlesex",/database/pd-dept/helmetta-middlesex,N/A,Not found,26%,more likely,1,2,2,6,,http://force.nj.com/database/pd-dept/helmetta-middlesex
"High Bridge, Hunterdon",/database/pd-dept/high-bridge-hunterdon,N/A,Not found,38%,more likely,0,4,4,6,,http://force.nj.com/database/pd-dept/high-bridge-hunterdon
"Highland Park, Middlesex",/database/pd-dept/highland-park-middlesex,1033%,more likely,51%,more likely,0,9,10,27,,http://force.nj.com/database/pd-dept/highland-park-middlesex
"Highlands, Monmouth",/database/pd-dept/highlands-monmouth,163%,more likely,52%,less likely,0,8,8,14,,http://force.nj.com/database/pd-dept/highlands-monmouth
"Hightstown, Mercer",/database/pd-dept/hightstown-mercer,102%,more likely,30%,less likely,1,8,8,13,,http://force.nj.com/database/pd-dept/hightstown-mercer
"Hillsborough, Somerset",/database/pd-dept/hillsborough-somerset,143%,more likely,10%,less likely,0,22,24,51,,http://force.nj.com/database/pd-dept/hillsborough-somerset
