name,relative_url,population,arrests,Los Angeles,New York City,Chicago,full_url
"Bay Head, Ocean",/database/pd-dept/bay-head-ocean,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/bay-head-ocean
"Bayonne, Hudson",/database/pd-dept/bayonne-hudson,108%,3%,11,88,92,http://force.nj.com/database/pd-dept/bayonne-hudson
"Beach Haven, Ocean",/database/pd-dept/beach-haven-ocean,78%,286%,0,7,8,http://force.nj.com/database/pd-dept/beach-haven-ocean
"Beachwood, Ocean",/database/pd-dept/beachwood-ocean,717%,63%,0,14,15,http://force.nj.com/database/pd-dept/beachwood-ocean
"Bedminster, Somerset",/database/pd-dept/bedminster-somerset,N/A,353%,0,1,2,http://force.nj.com/database/pd-dept/bedminster-somerset
"Belleville, Essex",/database/pd-dept/belleville-essex,76%,89%,12,64,66,http://force.nj.com/database/pd-dept/belleville-essex
"Bellmawr, Camden",/database/pd-dept/bellmawr-camden,231%,47%,0,7,13,http://force.nj.com/database/pd-dept/bellmawr-camden
"Belmar, Monmouth",/database/pd-dept/belmar-monmouth,218%,28%,2,31,32,http://force.nj.com/database/pd-dept/belmar-monmouth
"Belvidere, Warren",/database/pd-dept/belvidere-warren,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/belvidere-warren
"Bergenfield, Bergen",/database/pd-dept/bergenfield-bergen,40%,17%,0,13,14,http://force.nj.com/database/pd-dept/bergenfield-bergen
"Berkeley Heights, Union",/database/pd-dept/berkeley-heights-union,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/berkeley-heights-union
"Berkeley, Ocean",/database/pd-dept/berkeley-ocean,41%,76%,1,23,24,http://force.nj.com/database/pd-dept/berkeley-ocean
"Berlin Borough, Camden",/database/pd-dept/berlin-borough-camden,529%,14%,1,10,11,http://force.nj.com/database/pd-dept/berlin-borough-camden
"Berlin Township, Camden",/database/pd-dept/berlin-township-camden,36%,31%,0,6,6,http://force.nj.com/database/pd-dept/berlin-township-camden
"Bernards, Somerset",/database/pd-dept/bernards-somerset,779%,10%,0,14,16,http://force.nj.com/database/pd-dept/bernards-somerset
"Bernardsville, Somerset",/database/pd-dept/bernardsville-somerset,N/A,N/A,0,4,4,http://force.nj.com/database/pd-dept/bernardsville-somerset
"Beverly, Burlington",/database/pd-dept/beverly-burlington,924%,53%,2,11,12,http://force.nj.com/database/pd-dept/beverly-burlington
"Blairstown, Warren",/database/pd-dept/blairstown-warren,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/blairstown-warren
"Bloomfield, Essex",/database/pd-dept/bloomfield-essex,252%,83%,15,60,63,http://force.nj.com/database/pd-dept/bloomfield-essex
"Bloomingdale, Passaic",/database/pd-dept/bloomingdale-passaic,642%,79%,0,8,9,http://force.nj.com/database/pd-dept/bloomingdale-passaic
"Bogota, Bergen",/database/pd-dept/bogota-bergen,68%,52%,0,8,9,http://force.nj.com/database/pd-dept/bogota-bergen
"Boonton, Morris",/database/pd-dept/boonton-morris,747%,88%,0,10,10,http://force.nj.com/database/pd-dept/boonton-morris
"Boonton Township, Morris",/database/pd-dept/boonton-township-morris,N/A,N/A,0,3,3,http://force.nj.com/database/pd-dept/boonton-township-morris
"Bordentown Township, Burlington",/database/pd-dept/bordentown-township-burlington,367%,5%,2,18,20,http://force.nj.com/database/pd-dept/bordentown-township-burlington
"Bordentown City, Burlington",/database/pd-dept/bordentown-burlington,254%,35%,0,6,6,http://force.nj.com/database/pd-dept/bordentown-burlington
"Bound Brook, Somerset",/database/pd-dept/bound-brook-somerset,527%,36%,3,16,16,http://force.nj.com/database/pd-dept/bound-brook-somerset
"Bradley Beach, Monmouth",/database/pd-dept/bradley-beach-monmouth,925%,54%,1,12,14,http://force.nj.com/database/pd-dept/bradley-beach-monmouth
"Branchburg, Somerset",/database/pd-dept/branchburg-somerset,150%,37%,0,8,9,http://force.nj.com/database/pd-dept/branchburg-somerset
"Brick, Ocean",/database/pd-dept/brick-ocean,457%,39%,3,64,67,http://force.nj.com/database/pd-dept/brick-ocean
"Bridgeton City, Cumberland",/database/pd-dept/bridgeton-city-cumberland,1%,39%,19,41,56,http://force.nj.com/database/pd-dept/bridgeton-city-cumberland
"Bridgewater, Somerset",/database/pd-dept/bridgewater-somerset,994%,15%,0,36,37,http://force.nj.com/database/pd-dept/bridgewater-somerset
"Brielle, Monmouth",/database/pd-dept/brielle-monmouth,N/A,681%,0,2,2,http://force.nj.com/database/pd-dept/brielle-monmouth
"Brigantine Beach, Atlantic",/database/pd-dept/brigantine-beach-atlantic,974%,50%,0,13,13,http://force.nj.com/database/pd-dept/brigantine-beach-atlantic
"Brooklawn, Camden",/database/pd-dept/brooklawn-camden,427%,4%,2,9,10,http://force.nj.com/database/pd-dept/brooklawn-camden
"Buena Borough, Atlantic",/database/pd-dept/buena-borough-atlantic,838%,145%,1,3,7,http://force.nj.com/database/pd-dept/buena-borough-atlantic
"Burlington City, Burlington",/database/pd-dept/burlington-city-burlington,497%,27%,2,29,30,http://force.nj.com/database/pd-dept/burlington-city-burlington
"Burlington Township, Burlington",/database/pd-dept/burlington-town-burlington,215%,10%,0,26,26,http://force.nj.com/database/pd-dept/burlington-town-burlington
"Butler, Morris",/database/pd-dept/butler-morris,N/A,43%,0,6,6,http://force.nj.com/database/pd-dept/butler-morris
"Byram, Sussex",/database/pd-dept/byram-sussex,3922%,7%,1,5,6,http://force.nj.com/database/pd-dept/byram-sussex
"Caldwell, Essex",/database/pd-dept/caldwell-essex,101%,17%,0,15,15,http://force.nj.com/database/pd-dept/caldwell-essex
"Camden, Camden",/database/pd-dept/camden-camden,8%,447%,132,307,325,http://force.nj.com/database/pd-dept/camden-camden
"Cape May &amp; Cape May Point &amp; West Cape May, Cape May",/database/pd-dept/cape-may-cape-may,373%,75%,1,15,16,http://force.nj.com/database/pd-dept/cape-may-cape-may
"Carlstadt, Bergen",/database/pd-dept/carlstadt-bergen,N/A,36%,0,4,5,http://force.nj.com/database/pd-dept/carlstadt-bergen
"Carney's Point, Salem",/database/pd-dept/carney-s-point-salem,238%,45%,1,13,14,http://force.nj.com/database/pd-dept/carney-s-point-salem
"Carteret, Middlesex",/database/pd-dept/carteret-middlesex,103%,38%,5,34,36,http://force.nj.com/database/pd-dept/carteret-middlesex
"Cedar Grove, Essex",/database/pd-dept/cedar-grove-essex,359%,14%,0,7,8,http://force.nj.com/database/pd-dept/cedar-grove-essex
"Chatham Borough, Morris",/database/pd-dept/chatham-borough-morris,502%,78%,0,6,6,http://force.nj.com/database/pd-dept/chatham-borough-morris
"Chatham Township, Morris",/database/pd-dept/chatham-township-morris,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/chatham-township-morris
"Cherry Hill, Camden",/database/pd-dept/cherry-hill-camden,464%,21%,3,79,80,http://force.nj.com/database/pd-dept/cherry-hill-camden
"Chesilhurst, Camden",/database/pd-dept/chesilhurst-camden,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/chesilhurst-camden
"Chester Township &amp; Chester Borough, Morris",/database/pd-dept/chester-township-morris,N/A,N/A,0,4,5,http://force.nj.com/database/pd-dept/chester-township-morris
"Chesterfield, Burlington",/database/pd-dept/chesterfield-burlington,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/chesterfield-burlington
"Cinnaminson, Burlington",/database/pd-dept/cinnaminson-burlington,568%,45%,1,15,15,http://force.nj.com/database/pd-dept/cinnaminson-burlington
"Clark, Union",/database/pd-dept/clark-union,2046%,23%,1,20,21,http://force.nj.com/database/pd-dept/clark-union
"Clayton, Gloucester",/database/pd-dept/clayton-gloucester,176%,12%,0,5,8,http://force.nj.com/database/pd-dept/clayton-gloucester
"Clementon, Camden",/database/pd-dept/clementon-camden,148%,106%,0,3,4,http://force.nj.com/database/pd-dept/clementon-camden
"Cliffside Park, Bergen",/database/pd-dept/cliffside-park-bergen,50%,49%,1,26,28,http://force.nj.com/database/pd-dept/cliffside-park-bergen
"Clifton, Passaic",/database/pd-dept/clifton-passaic,118%,29%,10,74,76,http://force.nj.com/database/pd-dept/clifton-passaic
"Clinton Township, Hunterdon",/database/pd-dept/clinton-township-hunterdon,52%,63%,0,10,10,http://force.nj.com/database/pd-dept/clinton-township-hunterdon
"Closter, Bergen",/database/pd-dept/closter-bergen,N/A,12%,0,4,4,http://force.nj.com/database/pd-dept/closter-bergen
"Collingswood, Camden",/database/pd-dept/collingswood-camden,257%,16%,0,9,9,http://force.nj.com/database/pd-dept/collingswood-camden
"Colts Neck, Monmouth",/database/pd-dept/colts-neck-monmouth,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/colts-neck-monmouth
"Cranbury, Middlesex",/database/pd-dept/cranbury-middlesex,N/A,15%,0,7,7,http://force.nj.com/database/pd-dept/cranbury-middlesex
"Cranford, Union",/database/pd-dept/cranford-union,1421%,14%,0,20,21,http://force.nj.com/database/pd-dept/cranford-union
"Cresskill, Bergen",/database/pd-dept/cresskill-bergen,2255%,123%,0,7,7,http://force.nj.com/database/pd-dept/cresskill-bergen
"Deal, Interlaken &amp; Loch Arbour Village, Monmouth",/database/pd-dept/deal-monmouth,3199%,33%,0,7,7,http://force.nj.com/database/pd-dept/deal-monmouth
"Delanco, Burlington",/database/pd-dept/delanco-burlington,312%,34%,0,6,7,http://force.nj.com/database/pd-dept/delanco-burlington
"Delaware, Hunterdon",/database/pd-dept/delaware-hunterdon,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/delaware-hunterdon
"Delran, Burlington",/database/pd-dept/delran-burlington,276%,25%,0,15,16,http://force.nj.com/database/pd-dept/delran-burlington
"Demarest, Bergen",/database/pd-dept/demarest-bergen,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/demarest-bergen
"Denville, Morris",/database/pd-dept/denville-morris,237%,40%,0,8,8,http://force.nj.com/database/pd-dept/denville-morris
"Deptford, Gloucester",/database/pd-dept/deptford-gloucester,181%,8%,6,28,35,http://force.nj.com/database/pd-dept/deptford-gloucester
"Dover, Morris",/database/pd-dept/dover-morris,33%,1%,6,19,22,http://force.nj.com/database/pd-dept/dover-morris
